TimeCreated,id,Symbol,Name,Sector,Deleted,Info,TimeDeleted,TimeModified,Creator
2019-12-30 19:30:30.083803,1,MM,3M Company,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,2,OS,A.O. Smith Corp,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,3,BT,Abbott Laboratories,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,4,BBV,AbbVie Inc.,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,5,CN,Accenture plc,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,6,TVI,Activision Blizzard,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,7,YI,Acuity Brands Inc,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,8,DBE,Adobe Systems Inc,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,9,AP,Advance Auto Parts,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,10,MD,Advanced Micro Devices Inc,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,11,ES,AES Corp,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,12,ET,Aetna Inc,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,13,MG,Affiliated Managers Group Inc,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,14,FL,AFLAC Inc,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,15,A,Agilent Technologies Inc,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,16,PD,Air Products & Chemicals Inc,Materials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,17,KAM,Akamai Technologies Inc,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,18,LK,Alaska Air Group Inc,Industrials,0,,,2019-12-30 19:30:30.107017,
